"Source:","/home/andrey/Desktop/Order 2024/Radio_SI4735-V5.1-var9999-nouveau/SI4735.kicad_sch"
"Date:","2024-03-11T19:46:28+0100"
"Tool:","Eeschema 8.0.0"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","82"

"Collated Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","DNP","Datasheet","Description","Footprint","MANUFACTURER","MAXIMUM_PACKAGE_HEIGHT","MPN","OC_FARNELL","OC_NEWARK","PACKAGE","PARTREV","STANDARD","SUPPLIER","Sim.Device","Sim.Pins"
"1","2","C1, C2","1uF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","~","","~","Unpolarized capacitor, small symbol","Capacitor_SMD:C_1206_3216Metric_Pad1.33x1.80mm_HandSolder","","","","","","","","","","",""
"2","2","C3, C4","100nF","Device:C_Small","Capacitor_SMD:C_1206_3216Metric","~","","~","Unpolarized capacitor, small symbol","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"3","3","C5, C8, C9","20uF","Device:CP","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","","","","","","","",""
"4","3","C6, C7, C18","0.2uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","~","","~","Polarized capacitor, small symbol","Capacitor_THT:CP_Radial_D4.0mm_P2.00mm","","","","","","","","","","",""
"5","1","C10","33nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","~","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"6","1","C11","470nF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","~","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"7","2","C12, C13","1000uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","~","","~","Polarized capacitor, small symbol","Capacitor_THT:CP_Radial_D8.0mm_P3.80mm","","","","","","","","","","",""
"8","2","C14, C16","0.01uF","Device:C","Capacitor_SMD:C_1206_3216Metric","~","","~","Unpolarized capacitor","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"9","1","C15","20uF","Device:CP","Capacitor_SMD:C_1206_3216Metric","","","","","Capacitor_SMD:C_1206_3216Metric","","","","","","","","","","",""
"10","1","C17","100uF","Device:C_Polarized_Small","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","~","","~","Polarized capacitor, small symbol","Capacitor_THT:CP_Radial_D5.0mm_P2.00mm","","","","","","","","","","",""
